"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000001";"3";"981";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"80"
"202100000002";"3";"20";"0";"E";"2";"2";"0";"1";"0";"10";"1";"";" -1";"1";"0";"1";"80"
"202100000003";"4";"GENERAL GALLIENI (BOULEVARD DU)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000004";"3";"GENERAL GALLIENI (BOULEVARD DU)";"0";"N/A";"2";"4";"0";"1";"0";"1";"1";"";" -1";"1";"0";"1";"50"
"202100000005";"7";"PARIS. ROUTE DE";" -1";"N/A";"2";"2";" -1";"1";"11";"150";"1";"";" -1";"1";"0";"1";"50"
"202100000006";"4";"N/A";" -1";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";"4";"1";"0";"1";"50"
"202100000007";"4";"REPUBLIQUE (PLACE DE LA)";"0";"N/A";"2";"0";"0";"1";"0";"1";"1";"";" -1";"1";"5";"1";"50"
"202100000008";"2";"1";"0";"N/A";"2";"2";"0";"1";"5";"500";"1";"";" -1";"1";"0";"1";"40"
"202100000009";"3";"REPUBLIQUE (RUE DE LA) N° 47 A 85";"0";"N/A";"2";"3";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"50"
"202100000010";"2";"VAILLANT COUTURIER (AVENUE PAUL)";"0";"N/A";"1";"4";"3";"1";"(1)";"(1)";"1";"";" -1";"1";"3";"6";"50"
"202100000011";"3";"VAILLANT COUTURIER (AVENUE PAUL)";"0";"N/A";"2";"4";"0";"1";"0";"0";"3";"";" -1";"1";"9";"1";"50"
"202100000012";"3";"20";"0";"D";"2";"2";"0";"1";"2";"100";"2";"";" -1";"1";"0";"1";"80"
"202100000013";"2";"2";"0";"N/A";"3";"4";"3";"1";"10";"50";"1";"";" -1";"1";"0";"1";"110"
"202100000014";"3";"39";"0";"N/A";"2";"4";"0";"4";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000015";"3";"19";" -1";"N/A";"2";"2";"0";"1";"39";"0";"1";"";" -1";"1";"0";"1";"90"
"202100000016";"3";"15";" -1";"N/A";"2";"2";"0";"1";"24";"700";"1";"";" -1";"2";"0";"8";"50"
"202100000017";"1";"26";"0";"N/A";"3";"4";"0";"1";"259";"950";"1";"";" -1";"1";"0";"1";"130"
"202100000018";"1";"N/A";" -1";"N/A";"2";"4";" -1";"1";"204";"0";"1";"";" -1";"1";"7";"1";"90"
"202100000019";"3";"201";" -1";"N/A";"2";"2";"0";"2";"20";"165";"3";"";" -1";"1";"0";"1";"80"
"202100000020";"3";"AV FRANCOIS MITTERRAND";"0";"N/A";"3";"5";"0";"1";"56";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000021";"4";"CARNOT (AVENUE)";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"5";"1";"50"
"202100000022";"3";"AV FRANCOIS MITTERRAND";"0";"N/A";" -1";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"1";"1";"50"
"202100000023";"3";"RUE DES 5 EME ET 15 EME B.C.P.";"0";"N/A";"2";"2";"0";"1";"0";"100";"1";"";" -1";"1";"0";"1";"30"
"202100000024";"3";"NAVES (RUE DE)";"0";"N/A";"3";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"40"
"202100000025";"3";"435";"0";"N/A";"2";"2";"0";"2";"4";"900";"2";"";" -1";"2";"0";"1";"80"
"202100000026";"1";"6";" -1";"N/A";"3";"4";"0";"1";"234";"500";"1";"";" -1";"1";"0";"1";"130"
"202100000027";"3";"965";"0";"N/A";"2";"2";"0";"2";"24";"300";"1";"";" -1";"1";"0";"1";"90"
"202100000028";"4";"GOSSELIN ( RUE ALFRED )";"0";"N/A";"2";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000029";"4";"FAIDHERBE ( BOULEVARD )";"0";"N/A";"1";"2";"0";"1";"(1)";"(1)";"1";"";" -1";"2";"0";"1";"50"
"202100000030";"3";"SAINTE CROIX (RUE DU FAUBOURG)";"0";"N/A";"2";"3";"0";"2";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000031";"3";"CD940";"0";"N/A";" -1";"1";"0";"1";"9";"378";"1";"";" -1";"1";"9";"8";"10"
"202100000032";"2";"RN 184";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"2";"0";"1";"70"
