"Num_Acc";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202100000001";"201 764";"B01";"1";"1";"3";"1";"2000";"1";"0";"9";" -1";"0";"0";" -1"
"202100000001";"201 765";"A01";"1";"1";"1";"1";"1978";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000002";"201 762";"A01";"1";"1";"4";"1";"1983";"0";"1";" -1";" -1";"0";"0";" -1"
"202100000002";"201 763";"B01";"1";"1";"3";"1";"1993";"0";"1";" -1";" -1";"0";"0";" -1"
"202100000003";"201 761";"A01";"1";"1";"1";"1";"1995";"1";"1";"0";" -1";"0";"0";" -1"
"202100000003";"201 761";"A01";"10";"3";"3";"2";"1959";"4";"0";" -1";" -1";"3";"3";"1"
"202100000004";"201 758";"A01";"1";"1";"1";"1";"2000";" -1";" -1";"0";" -1";" -1";" -1";" -1"
"202100000004";"201 759";"D01";"1";"1";"2";"2";"2014";"5";"0";" -1";" -1";" -1";" -1";" -1"
"202100000005";"201 754";"A01";"1";"1";"4";"2";"1997";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202100000005";"201 755";"Z01";"1";"1";" -1";" -1";"";" -1";"8";" -1";" -1";" -1";" -1";" -1"
"202100000006";"201 752";"B01";"1";"1";"4";"1";"2009";"2";"0";" -1";" -1";"0";"0";" -1"
"202100000006";"201 753";"A01";"1";"1";"1";"1";"1976";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000007";"201 750";"B01";"1";"1";"1";"1";"2001";"5";"1";"5";" -1";" -1";" -1";" -1"
"202100000007";"201 750";"B01";"4";"2";"4";"2";"2002";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000007";"201 751";"A01";"1";"1";"4";"1";"1991";"0";"1";"5";" -1";" -1";" -1";" -1"
"202100000008";"201 748";"B01";"1";"1";"3";"1";"1972";"5";"2";" -1";" -1";"0";"0";" -1"
"202100000008";"201 748";"B01";"2";"2";"4";"2";"1984";"5";"8";" -1";" -1";"0";"0";" -1"
"202100000008";"201 749";"A01";"1";"1";"1";"1";"1971";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000009";"201 746";"A01";"1";"1";"1";"1";"1981";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000009";"201 747";"B01";"1";"1";"1";"1";"1935";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000009";"201 747";"B01";"2";"2";"4";"2";"1936";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000010";"201 744";"A01";"1";"1";"1";"1";"1976";"5";"8";"8";" -1";" -1";" -1";" -1"
"202100000010";"201 745";"B01";"1";"1";"4";"2";"1994";"4";"1";"8";" -1";" -1";" -1";" -1"
