Identifiant de l'accident;Date et heure;Commune;Année;Mois;Jour;Heure minute;Lumière;Localisation;Intersection;Conditions atmosphériques;Collision;Département;Code commune;Code Insee;Adresse;Latitude;Longitude;Code Postal;Numéro;Coordonnées;PR;Surface;V1;Circulation;Voie réservée;Env1;Voie;Largeur de la chaussée;V2;Largeur terre plein central;Nombre de voies;Catégorie route;PR1;Plan;Profil;Infrastructure;Situation;Année de naissance;Sexe;Action piéton;Gravité;Existence équipement de sécurité;Utilisation équipement de sécurité;Localisation du piéton;Identifiant véhicule;Place;Catégorie d'usager;Piéton seul ou non;Motif trajet;Point de choc;Manœuvre;Sens;Obstacle mobile heurté;Obstacle fixe heurté;Catégorie véhicule;Nombre d'occupants;Gps;date;year_georef;Nom Officiel Commune;Code Officiel Département;Nom Officiel Département;Code Officiel EPCI;Nom Officiel EPCI;Code Officiel Région;Nom Officiel Région;Nom Officiel Commune / Arrondissement Municipal;Code Officiel Commune
201700033164;2017-04-28T14:20:00+02:00;Pau;2017;04;28;14:20;Plein jour;En agglomération;1;Normale;Autre collision;64;445;64445;RUE BONADO;4329835;-036365;64000;;43.298243, -0.361894;;normale;;A sens unique;;00;0;72;;0;1;Voie Communale;;;;;Sur chaussée;1970,2005;Féminin,Féminin;Se déplaçant,Traversant;Indemne,Blessé;Ceinture;Oui;Sur chaussée - A + 50 m du passage piéton;A01;1;Conducteur,Piéton;Seul;Domicile – travail,Promenade – loisirs;Avant;Sans changement de direction;;Piéton;;VL seul;;Métropole;;2017;Pau;64;Pyrénées-Atlantiques;200067254;CA Pau Béarn Pyrénées;75;Nouvelle-Aquitaine;Pau;64445
201700033218;2017-07-06T16:35:00+02:00;Pau;2017;07;06;16:35;Plein jour;En agglomération;1;Normale;Autre collision;64;445;64445;RUE SERGENT BERNES CAMBO;4330850;-036955;64000;;43.306811, -0.369954;;normale;;Bidirectionnelle;;00;0;79;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;2010,1963;Masculin,Masculin;Masqué,Se déplaçant;Blessé,Indemne;Ceinture;Oui;Sur passage piéton - Sans signalisation lumineuse;A01;1;Piéton,Conducteur;Accompagné;Autre;Avant gauche;Sans changement de direction;;Piéton;;VL seul;;Métropole;;2017;Pau;64;Pyrénées-Atlantiques;200067254;CA Pau Béarn Pyrénées;75;Nouvelle-Aquitaine;Pau;64445
201700033273;2017-09-27T07:55:00+02:00;Lons;2017;09;27;07:55;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;64;348;64348;BOULEVARD DE L'EUROPE;4332831;-038603;64140;;43.332282, -0.383801;33;normale;;Bidirectionnelle;;99;834;0;;0;0;Route Départementale;300;Partie rectiligne;Plat;;Sur chaussée;1958,1985;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Arrière gauche,Avant;En faisant demi-tour sur la chaussée,Dépassant A gauche;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,Motocyclette > 50 cm3 et <= 125 cm3;;Métropole;;2017;Lons;64;Pyrénées-Atlantiques;200067254;CA Pau Béarn Pyrénées;75;Nouvelle-Aquitaine;Lons;64348
201700033301;2017-10-26T17:17:00+02:00;Bizanos;2017;10;26;17:17;Plein jour;En agglomération;1;Normale;Deux véhicules – par le coté;64;132;64132;RUE GEORGES CLEMENCEAU;4328734;-035129;64320;;43.289734, -0.355441;;normale;;Bidirectionnelle;;00;0;70;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;2007,1987;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;;Avant,Avant;Sans changement de direction,Tournant A gauche;;Véhicule,Véhicule;;Bicyclette,VL seul;;Métropole;;2017;Bizanos;64;Pyrénées-Atlantiques;200067254;CA Pau Béarn Pyrénées;75;Nouvelle-Aquitaine;Bizanos;64132
201700033317;2017-11-09T19:30:00+01:00;Pau;2017;11;09;19:30;Nuit avec éclairage public allumé;En agglomération;1;Normale;Deux véhicules – par le coté;64;445;64445;AV DU GENERAL LECLERC;4330417;-034431;64000;;43.304506, -0.342685;;normale;;Bidirectionnelle;;00;0;0;;0;2;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1983,1950;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;;Côté gauche,Avant gauche;Sans changement de direction,Tournant A gauche;;Véhicule,Véhicule;;Motocyclette > 125 cm3,VL seul;;Métropole;;2017;Pau;64;Pyrénées-Atlantiques;200067254;CA Pau Béarn Pyrénées;75;Nouvelle-Aquitaine;Pau;64445
201700033425;2017-08-12T19:30:00+02:00;Saint-jean-de-luz;2017;08;12;19:30;Plein jour;En agglomération;1;Normale;Deux véhicules – par le coté;64;483;64483;BOULEVARD VICTOR HUGO;4338990;-165760;64500;;43.388213, -1.659784;;normale;;A sens unique;;00;0;0;;0;0;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1960,1994;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs;Avant,Côté gauche;Dépassant A gauche,Tournant A gauche;;Véhicule,Véhicule;;Motocyclette > 125 cm3,VL seul;;Métropole;;2017;Saint-Jean-de-Luz;64;Pyrénées-Atlantiques;200067106;CA du Pays Basque;75;Nouvelle-Aquitaine;Saint-Jean-de-Luz;64483
201700033603;2017-04-10T17:30:00+02:00;Perpignan;2017;04;10;17:30;Plein jour;Hors agglomération;1;Normale;Deux véhicules – par le coté;66;136;66136;R D 900;;;66100;900;42.697055, 2.893955;1;normale;;A sens unique;;00;900;100;A;0;1;Route Départementale;715;En courbe à droite;Plat;;Sur chaussée;1958,1992;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant droit,Arrière gauche;Sans changement de direction;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;VL seul,Scooter > 125 cm3;;;;2017;Perpignan;66;Pyrénées-Orientales;200027183;CU Perpignan Méditerranée Métropole;76;Occitanie;Perpignan;66136
201700033604;2017-04-15T17:12:00+02:00;Perpignan;2017;04;15;17:12;Plein jour;En agglomération;1;Normale;Deux véhicules – par le coté;66;136;66136;R D 900;;;66100;900;42.697055, 2.893955;1;normale;;Bidirectionnelle;;99;900;100;A;0;2;Route Départementale;715;Partie rectiligne;Plat;;Sur chaussée;1968,1981;Masculin,Masculin;Se déplaçant,Se déplaçant;Indemne,Blessé;Ceinture,Casque;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant,Arrière;Même sens,Même sens;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule;;Motocyclette > 125 cm3,VL seul;;;;2017;Perpignan;66;Pyrénées-Orientales;200027183;CU Perpignan Méditerranée Métropole;76;Occitanie;Perpignan;66136
201700033617;2017-05-17T19:13:00+02:00;Perpignan;2017;05;17;19:13;Plein jour;En agglomération;1;Normale;Deux véhicules - frontale;66;136;66136;FORT (PAUL);4270763;0288785;66100;;42.67878, 2.910283;;normale;;Bidirectionnelle;;00;0;50;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1988,1972;Masculin,Masculin;Se déplaçant,Se déplaçant;Blessé,Indemne;Ceinture,Ceinture;Oui,Oui;;A01,B01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Promenade – loisirs;Avant gauche,Avant droit;Déporté A gauche,Sans changement de direction;;Véhicule,Véhicule;;VL seul,VL seul;;Métropole;;2017;Perpignan;66;Pyrénées-Orientales;200027183;CU Perpignan Méditerranée Métropole;76;Occitanie;Perpignan;66136
201700033633;2017-07-04T11:30:00+02:00;Perpignan;2017;07;04;11:30;Plein jour;En agglomération;2;Normale;Deux véhicules – par le coté;66;136;66136;., GAULLE (AVENUE GENERA;4269774;0288552;66100;;42.660274, 2.911244;;normale;;Bidirectionnelle;;03;0;50;;0;1;Voie Communale;;Partie rectiligne;Plat;;Sur chaussée;1935,1976;Masculin,Féminin;Se déplaçant,Se déplaçant;Blessé,Indemne;Casque,Ceinture;Oui,Oui;;B01,A01;1,1;Conducteur,Conducteur;;Promenade – loisirs,Autre;Avant,Avant;Sans changement de direction,En s’insérant;PK ou PR ou numéro d’adresse postale croissant,PK ou PR ou numéro d’adresse postale croissant;Véhicule,Véhicule;;Bicyclette,VL seul;;Métropole;;2017;Perpignan;66;Pyrénées-Orientales;200027183;CU Perpignan Méditerranée Métropole;76;Occitanie;Perpignan;66136
